,material_id,metal,anion,formula,oxidationstate,name
319,mp-31040,Nb,Cl,Nb2 Cl8,4.0,mp-31040Nb2_Cl8
320,mp-29950,Nb,Cl,Nb6 Cl16,2.6666666666666665,mp-29950Nb6_Cl16
321,mp-23307,Nb,Cl,Nb6 Cl30,5.0,mp-23307Nb6_Cl30
322,mp-27880,Nb,Cl,Nb12 Cl28,2.3333333333333335,mp-27880Nb12_Cl28
323,mp-27771,Nb,Br,Nb6 Br16,2.6666666666666665,mp-27771Nb6_Br16
324,mp-28601,Nb,Br,Nb8 Br40,5.0,mp-28601Nb8_Br40
325,mp-1080428,Nb,Br,Nb2 Br8,4.0,mp-1080428Nb2_Br8
326,mp-466,Nb,F,Nb6 F15,2.5,mp-466Nb6_F15
327,mp-18687,Nb,F,Nb4 F20,5.0,mp-18687Nb4_F20
328,mp-2311,Nb,O,Nb3 O3,2.0,mp-2311Nb3_O3
329,mp-557057,Nb,O,Nb8 O16,4.0,mp-557057Nb8_O16
330,mp-1201852,Nb,O,Nb16 O40,5.0,mp-1201852Nb16_O40
331,mp-12627,Nb,S,Nb6 S8,2.6666666666666665,mp-12627Nb6_S8
332,mp-684620,Nb,S,Nb25 S48,3.84,mp-684620Nb25_S48
333,mp-32983,Nb,S,Nb12 S20,3.3333333333333335,mp-32983Nb12_S20
334,mp-10033,Nb,S,Nb2 S4,4.0,mp-10033Nb2_S4
335,mp-683941,Nb,S,Nb56 S20,0.7142857142857143,mp-683941Nb56_S20
336,mp-1190583,Nb,S,Nb6 S18,6.0,mp-1190583Nb6_S18
337,mp-7234,Nb,N,Nb10 N12,3.6,mp-7234Nb10_N12
338,mp-2634,Nb,N,Nb1 N1,3.0,mp-2634Nb1_N1
339,mp-1079585,Nb,N,Nb6 N3,1.5,mp-1079585Nb6_N3
340,mp-1198690,Mo,I,Mo12 I24,2.0,mp-1198690Mo12_I24
341,mp-620029,Mo,Cl,Mo12 Cl24,2.0,mp-620029Mo12_Cl24
342,mp-29147,Mo,Cl,Mo8 Cl40,5.0,mp-29147Mo8_Cl40
343,mp-1221487,Mo,Cl,Mo3 Cl18,6.0,mp-1221487Mo3_Cl18
344,mp-29555,Mo,Br,Mo12 Br24,2.0,mp-29555Mo12_Br24
345,mp-23312,Mo,Br,Mo4 Br12,3.0,mp-23312Mo4_Br12
346,mp-557259,Mo,F,Mo4 F24,6.0,mp-557259Mo4_F24
347,mp-557539,Mo,F,Mo2 F6,3.0,mp-557539Mo2_F6
348,mp-555649,Mo,F,Mo4 F20,5.0,mp-555649Mo4_F20
349,mp-715584,Mo,O,Mo4 O12,6.0,mp-715584Mo4_O12
350,mp-579184,Mo,O,Mo32 O92,5.75,mp-579184Mo32_O92
351,mp-510536,Mo,O,Mo4 O8,4.0,mp-510536Mo4_O8
352,mp-18856,Mo,O,Mo8 O24,6.0,mp-18856Mo8_O24
353,mp-1434,Mo,S,Mo1 S2,4.0,mp-1434Mo1_S2
354,mp-2811,Mo,N,Mo8 N8,3.0,mp-2811Mo8_N8
355,mp-530081,Mo,N,Mo30 N32,3.2,mp-530081Mo30_N32
356,mp-1203591,Tc,I,Tc8 I32,4.0,mp-1203591Tc8_I32
357,mp-27780,Tc,Cl,Tc8 Cl32,4.0,mp-27780Tc8_Cl32
358,mp-1190915,Tc,Cl,Tc6 Cl18,3.0,mp-1190915Tc6_Cl18
359,mp-570480,Tc,Br,Tc8 Br32,4.0,mp-570480Tc8_Br32
360,mp-568753,Tc,Br,Tc4 Br12,3.0,mp-568753Tc4_Br12
361,mp-1025373,Tc,F,Tc1 F6,6.0,mp-1025373Tc1_F6
362,mp-1203061,Tc,F,Tc8 F32,4.0,mp-1203061Tc8_F32
363,mp-27485,Tc,O,Tc8 O28,7.0,mp-27485Tc8_O28
364,mp-33137,Tc,O,Tc4 O8,4.0,mp-33137Tc4_O8
365,mp-9481,Tc,S,Tc4 S8,4.0,mp-9481Tc4_S8
366,mp-1019319,Tc,N,Tc3 N3,3.0,mp-1019319Tc3_N3
367,mp-1019316,Tc,N,Tc4 N2,1.5,mp-1019316Tc4_N2
368,mp-1017987,Tc,N,Tc3 N1,1.0,mp-1017987Tc3_N1
369,mp-570880,Ru,Cl,Ru4 Cl12,3.0,mp-570880Ru4_Cl12
370,mp-23294,Ru,Br,Ru4 Br12,3.0,mp-23294Ru4_Br12
371,mp-974434,Ru,F,Ru2 F8,4.0,mp-974434Ru2_F8
372,mp-540829,Ru,F,Ru8 F40,5.0,mp-540829Ru8_F40
373,mp-7570,Ru,F,Ru2 F6,3.0,mp-7570Ru2_F6
374,mp-1209121,Ru,F,Ru4 F24,6.0,mp-1209121Ru4_F24
375,mp-554791,Ru,O,Ru8 O32,8.0,mp-554791Ru8_O32
376,mp-825,Ru,O,Ru2 O4,4.0,mp-825Ru2_O4
377,mp-2030,Ru,S,Ru4 S8,4.0,mp-2030Ru4_S8
378,mp-1206891,Rh,I,Rh2 I6,3.0,mp-1206891Rh2_I6
379,mp-27770,Rh,Cl,Rh2 Cl6,3.0,mp-27770Rh2_Cl6
380,mp-27871,Rh,Br,Rh2 Br6,3.0,mp-27871Rh2_Br6
381,mp-2068,Rh,F,Rh2 F6,3.0,mp-2068Rh2_F6
382,mp-540622,Rh,F,Rh8 F40,5.0,mp-540622Rh8_F40
383,mp-1025250,Rh,F,Rh1 F6,6.0,mp-1025250Rh1_F6
384,mp-725,Rh,O,Rh2 O4,4.0,mp-725Rh2_O4
385,mp-22555,Rh,S,Rh4 S8,4.0,mp-22555Rh4_S8
386,mp-21991,Rh,S,Rh34 S30,1.7647058823529411,mp-21991Rh34_S30
387,mp-17173,Rh,S,Rh8 S12,3.0,mp-17173Rh8_S12
388,mp-29841,Rh,S,Rh9 S12,2.6666666666666665,mp-29841Rh9_S12
389,mp-27747,Pd,I,Pd4 I8,2.0,mp-27747Pd4_I8
390,mp-29487,Pd,Cl,Pd6 Cl12,2.0,mp-29487Pd6_Cl12
391,mp-27857,Pd,Br,Pd8 Br16,2.0,mp-27857Pd8_Br16
392,mp-13679,Pd,F,Pd2 F6,3.0,mp-13679Pd2_F6
393,mp-13868,Pd,F,Pd2 F8,4.0,mp-13868Pd2_F8
394,mp-1018886,Pd,O,Pd2 O4,4.0,mp-1018886Pd2_O4
395,mp-1336,Pd,O,Pd2 O2,2.0,mp-1336Pd2_O2
396,mp-13682,Pd,S,Pd4 S8,4.0,mp-13682Pd4_S8
397,mp-20250,Pd,S,Pd8 S8,2.0,mp-20250Pd8_S8
398,mp-393,Pd,S,Pd16 S7,0.875,mp-393Pd16_S7
399,mp-558378,Pd,S,Pd6 S2,0.6666666666666666,mp-558378Pd6_S2
400,mp-7819,Pd,S,Pd8 S2,0.5,mp-7819Pd8_S2
401,mp-22925,Ag,I,Ag1 I1,1.0,mp-22925Ag1_I1
402,mp-864635,Ag,Cl,Ag4 Cl6,1.5,mp-864635Ag4_Cl6
403,mp-22922,Ag,Cl,Ag1 Cl1,1.0,mp-22922Ag1_Cl1
404,mp-866291,Ag,Br,Ag1 Br1,1.0,mp-866291Ag1_Br1
405,mp-7715,Ag,F,Ag2 F4,2.0,mp-7715Ag2_F4
406,mp-1391,Ag,F,Ag2 F1,0.5,mp-1391Ag2_F1
407,mp-18536,Ag,F,Ag6 F18,3.0,mp-18536Ag6_F18
408,mp-542298,Ag,F,Ag8 F20,2.5,mp-542298Ag8_F20
409,mp-7592,Ag,F,Ag1 F1,1.0,mp-7592Ag1_F1
410,mp-499,Ag,O,Ag2 O2,2.0,mp-499Ag2_O2
411,mp-1605,Ag,O,Ag6 O8,2.6666666666666665,mp-1605Ag6_O8
412,mp-353,Ag,O,Ag4 O2,1.0,mp-353Ag4_O2
413,mp-31053,Ag,S,Ag4 S2,1.0,mp-31053Ag4_S2
414,mp-582042,Cd,I,Cd15 I30,2.0,mp-582042Cd15_I30
415,mp-22881,Cd,Cl,Cd1 Cl2,2.0,mp-22881Cd1_Cl2
416,mp-27934,Cd,Br,Cd2 Br4,2.0,mp-27934Cd2_Br4
417,mp-241,Cd,F,Cd1 F2,2.0,mp-241Cd1_F2
418,mp-1132,Cd,O,Cd1 O1,2.0,mp-1132Cd1_O1
419,mp-672,Cd,S,Cd2 S2,2.0,mp-672Cd2_S2
420,mp-1095440,Cd,S,Cd4 S8,4.0,mp-1095440Cd4_S8
421,mp-568002,Hf,I,Hf2 I6,3.0,mp-568002Hf2_I6
422,mp-569059,Hf,I,Hf4 I16,4.0,mp-569059Hf4_I16
423,mp-29422,Hf,Cl,Hf2 Cl8,4.0,mp-29422Hf2_Cl8
424,mp-1212517,Hf,Br,Hf8 Br32,4.0,mp-1212517Hf8_Br32
425,mp-31033,Hf,F,Hf6 F24,4.0,mp-31033Hf6_F24
426,mp-352,Hf,O,Hf4 O8,4.0,mp-352Hf4_O8
427,mp-10000,Hf,S,Hf4 S2,1.0,mp-10000Hf4_S2
428,mp-985829,Hf,S,Hf1 S2,4.0,mp-985829Hf1_S2
429,mp-1206743,Hf,S,Hf1 S1,2.0,mp-1206743Hf1_S1
430,mp-9922,Hf,S,Hf2 S6,6.0,mp-9922Hf2_S6
431,mp-776470,Hf,N,Hf12 N16,4.0,mp-776470Hf12_N16
432,mp-864647,Hf,N,Hf4 N2,1.5,mp-864647Hf4_N2
433,mp-1224388,Hf,N,Hf3 N2,2.0,mp-1224388Hf3_N2
434,mp-2828,Hf,N,Hf1 N1,3.0,mp-2828Hf1_N1
435,mp-23238,Ta,I,Ta12 I28,2.3333333333333335,mp-23238Ta12_I28
436,mp-570679,Ta,I,Ta8 I40,5.0,mp-570679Ta8_I40
437,mp-23274,Ta,Cl,Ta48 Cl120,2.5,mp-23274Ta48_Cl120
438,mp-29831,Ta,Cl,Ta6 Cl30,5.0,mp-29831Ta6_Cl30
439,mp-29412,Ta,Br,Ta12 Br28,2.3333333333333335,mp-29412Ta12_Br28
440,mp-680077,Ta,Br,Ta48 Br120,2.5,mp-680077Ta48_Br120
441,mp-1203015,Ta,Br,Ta6 Br30,5.0,mp-1203015Ta6_Br30
442,mp-561197,Ta,F,Ta4 F20,5.0,mp-561197Ta4_F20
443,mvc-4415,Ta,O,Ta4 O10,5.0,mvc-4415Ta4_O10
444,mp-30527,Ta,S,Ta6 S18,6.0,mp-30527Ta6_S18
445,mp-530018,Ta,S,Ta27 S50,3.7037037037037037,mp-530018Ta27_S50
446,mp-1826,Ta,S,Ta12 S8,1.3333333333333333,mp-1826Ta12_S8
447,mp-1984,Ta,S,Ta2 S4,4.0,mp-1984Ta2_S4
448,mp-1218017,Ta,S,Ta5 S8,3.2,mp-1218017Ta5_S8
449,mp-1218055,Ta,S,Ta7 S12,3.4285714285714284,mp-1218055Ta7_S12
450,mp-27488,Ta,N,Ta6 N10,5.0,mp-27488Ta6_N10
451,mp-1642,Ta,N,Ta10 N12,3.6,mp-1642Ta10_N12
452,mp-1279,Ta,N,Ta3 N3,3.0,mp-1279Ta3_N3
453,mp-1079438,Ta,N,Ta6 N3,1.5,mp-1079438Ta6_N3
454,mp-1207889,W,I,W12 I24,2.0,mp-1207889W12_I24
455,mp-980949,W,Cl,W2 Cl8,4.0,mp-980949W2_Cl8
456,mp-571518,W,Cl,W1 Cl6,6.0,mp-571518W1_Cl6
457,mp-1207828,W,Cl,W12 Cl24,2.0,mp-1207828W12_Cl24
458,mp-29498,W,Br,W12 Br24,2.0,mp-29498W12_Br24
459,mp-28483,W,Br,W1 Br6,6.0,mp-28483W1_Br6
460,mp-555003,W,F,W4 F24,6.0,mp-555003W4_F24
